Year,Text
were with out work. The Tories gave us the distressed areas. They betrayed
agriculture; they encouraged monopolies and cartels. They are condemned
by their record.

Cost of Living

Rising world prices have increased the cost of living, but much less in
Britain than in most other countries. Our people have been sheltered against
rising prices by Labour's policy of price control; by rent control; by food
subsidies worth 12s. a week to the average family; by utility production and
by bulk purchase which has kept down the cost of imports.

Though long overdue improvements in the miners' wages and working
conditions have been made, the price of coal under nationalisation is less
than in any other country in Europe, or in the United States.

Our Government has started international discussions for a fairer distribution
of raw materials and for lower and more stable prices. Largely through this
initiative the prices of textiles and clothing, including children's clothing,
have recently been much reduced. This brings great benefit to the housewife
and is a welcome change from the previous upward movement of the cost of
living.

We hope to see this fall extend to other prices soon. With this object we shall
extend and strengthen price controls. We shall set up new auction markets in
provincial towns to reduce the price of fruit and vegetables to the housewife.
She will have fresher supplies, and when unnecessary middlemen are cut out
the grower will get better and more stable prices. We shall overhaul
marketing in other trades with the same object.

Tory policy would cause a catastrophic rise in the cost of living. They are for
